Unidade da Federação/Categoria Administrativa,Total - Total Geral, Capital - Total Geral , Interior - Total Geral ,Total - Universidades, Capital - Universidades , Interior - Universidades ,Total - Centros Universitários, Capital - Centros Universitários , Interior - Centros Universitários ,Total - Faculdades Integradas, Capital - Faculdades Integradas , Interior - Faculdades Integradas ,"Total - Faculdades, Escolas e Institutos"," Capital - Faculdades, Escolas e Institutos "," Interior - Faculdades, Escolas e Institutos ",Total - CET/FaT, Capital - CET/FaT , Interior - CET/FaT 
Comun/Confes/Filant, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Tocantins,  25 ,  5 ,  20 ,  2 ,  2 , - ,  1 ,  1 , - ,  1 , - ,  1 ,  21 ,  2 ,  19 , - , - , - 
Pública,  3 ,  2 ,  1 ,  2 ,  2 , - , - , - , - , - , - , - ,  1 , - ,  1 , - , - , - 
Federal,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 , - ,  1 , - , - , - 
Privada,  22 ,  3 ,  19 , - , - , - ,  1 ,  1 , - ,  1 , - ,  1 ,  20 ,  2 ,  18 , - , - , - 
Particular,  18 ,  1 ,  17 , - , - , - , - , - , - , - , - , - ,  18 ,  1 ,  17 , - , - , - 
Comun/Confes/Filant,  4 ,  2 ,  2 , - , - , - ,  1 ,  1 , - ,  1 , - ,  1 ,  2 ,  1 ,  1 , - , - , - 
Nordeste,  388 ,  202 ,  186 ,  33 ,  21 ,  12 ,  3 ,  3 , - ,  8 ,  2 ,  6 ,  315 ,  154 ,  161 ,  29 ,  22 ,  7 
Pública,  60 ,  25 ,  35 ,  27 ,  15 ,  12 , - , - , - , - , - , - ,  22 ,  1 ,  21 ,  11 ,  9 ,  2 
Federal,  25 ,  18 ,  7 ,  14 ,  9 ,  5 , - , - , - , - , - , - , - , - , - ,  11 ,  9 ,  2 
Estadual,  18 ,  7 ,  11 ,  13 ,  6 ,  7 , - , - , - , - , - , - ,  5 ,  1 ,  4 , - , - , - 
Municipal,  17 , - ,  17 , - , - , - , - , - , - , - , - , - ,  17 , - ,  17 , - , - , - 
Privada,  328 ,  177 ,  151 ,  6 ,  6 , - ,  3 ,  3 , - ,  8 ,  2 ,  6 ,  293 ,  153 ,  140 ,  18 ,  13 ,  5 
Particular,  289 ,  154 ,  135 ,  3 ,  3 , - ,  2 ,  2 , - ,  8 ,  2 ,  6 ,  258 ,  134 ,  124 ,  18 ,  13 ,  5 
Comun/Confes/Filant,  39 ,  23 ,  16 ,  3 ,  3 , - ,  1 ,  1 , - , - , - , - ,  35 ,  19 ,  16 , - , - , - 
Maranhão,  25 ,  12 ,  13 ,  2 ,  2 , - ,  1 ,  1 , - , - , - , - ,  21 ,  8 ,  13 ,  1 ,  1 , - 
Pública,  3 ,  3 , - ,  2 ,  2 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Federal,  2 ,  2 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  22 ,  9 ,  13 , - , - , - ,  1 ,  1 , - , - , - , - ,  21 ,  8 ,  13 , - , - , - 
Particular,  17 ,  7 ,  10 , - , - , - ,  1 ,  1 , - , - , - , - ,  16 ,  6 ,  10 , - , - , - 
Comun/Confes/Filant,  5 ,  2 ,  3 , - , - , - , - , - , - , - , - , - ,  5 ,  2 ,  3 , - , - , - 
Piauí,  28 ,  22 ,  6 ,  2 ,  2 , - , - , - , - , - , - , - ,  24 ,  18 ,  6 ,  2 ,  2 , - 
Pública,  3 ,  3 , - ,  2 ,  2 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Federal,  2 ,  2 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  25 ,  19 ,  6 , - , - , - , - , - , - , - , - , - ,  24 ,  18 ,  6 ,  1 ,  1 , - 
Particular,  25 ,  19 ,  6 , - , - , - , - , - , - , - , - , - ,  24 ,  18 ,  6 ,  1 ,  1 , - 
Comun/Confes/Filant, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ceará,  47 ,  32 ,  15 ,  5 ,  3 ,  2 , - , - , - , - , - , - ,  33 ,  24 ,  9 ,  9 ,  5 ,  4 
Pública,  6 ,  3 ,  3 ,  4 ,  2 ,  2 , - , - , - , - , - , - , - , - , - ,  2 ,  1 ,  1 
Federal,  3 ,  2 ,  1 ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  2 ,  1 ,  1 
Estadual,  3 ,  1 ,  2 ,  3 ,  1 ,  2 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  41 ,  29 ,  12 ,  1 ,  1 , - , - , - , - , - , - , - ,  33 ,  24 ,  9 ,  7 ,  4 ,  3 
Particular,  33 ,  23 ,  10 , - , - , - , - , - , - , - , - , - ,  26 ,  19 ,  7 ,  7 ,  4 ,  3 
Comun/Confes/Filant,  8 ,  6 ,  2 ,  1 ,  1 , - , - , - , - , - , - , - ,  7 ,  5 ,  2 , - , - , - 
Rio Grande do Norte,  20 ,  13 ,  7 ,  4 ,  2 ,  2 , - , - , - , - , - , - ,  15 ,  10 ,  5 ,  1 ,  1 , - 
Pública,  5 ,  3 ,  2 ,  3 ,  1 ,  2 , - , - , - , - , - , - ,  1 ,  1 , - ,  1 ,  1 , - 
Federal,  3 ,  2 ,  1 ,  2 ,  1 ,  1 , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  2 ,  1 ,  1 ,  1 , - ,  1 , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  15 ,  10 ,  5 ,  1 ,  1 , - , - , - , - , - , - , - ,  14 ,  9 ,  5 , - , - , - 
Particular,  14 ,  10 ,  4 ,  1 ,  1 , - , - , - , - , - , - , - ,  13 ,  9 ,  4 , - , - , - 
Comun/Confes/Filant,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 , - ,  1 , - , - , - 
Paraíba,  32 ,  18 ,  14 ,  3 ,  1 ,  2 ,  1 ,  1 , - ,  1 , - ,  1 ,  22 ,  11 ,  11 ,  5 ,  5 , - 
Pública,  4 ,  2 ,  2 ,  3 ,  1 ,  2 , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Federal,  3 ,  2 ,  1 ,  2 ,  1 ,  1 , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  1 , - ,  1 ,  1 , - ,  1 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  28 ,  16 ,  12 , - , - , - ,  1 ,  1 , - ,  1 , - ,  1 ,  22 ,  11 ,  11 ,  4 ,  4 , - 
Particular,  27 ,  15 ,  12 , - , - , - , - , - , - ,  1 , - ,  1 ,  22 ,  11 ,  11 ,  4 ,  4 , - 
Comun/Confes/Filant,  1 ,  1 , - , - , - , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - 
Pernambuco,  83 ,  30 ,  53 ,  5 ,  4 ,  1 , - , - , - ,  3 , - ,  3 ,  71 ,  23 ,  48 ,  4 ,  3 ,  1 
Pública,  23 ,  4 ,  19 ,  4 ,  3 ,  1 , - , - , - , - , - , - ,  17 , - ,  17 ,  2 ,  1 ,  1 
Federal,  5 ,  3 ,  2 ,  3 ,  2 ,  1 , - , - , - , - , - , - , - , - , - ,  2 ,  1 ,  1 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  17 , - ,  17 , - , - , - , - , - , - , - , - , - ,  17 , - ,  17 , - , - , - 
Privada,  60 ,  26 ,  34 ,  1 ,  1 , - , - , - , - ,  3 , - ,  3 ,  54 ,  23 ,  31 ,  2 ,  2 , - 
Particular,  49 ,  18 ,  31 , - , - , - , - , - , - ,  3 , - ,  3 ,  44 ,  16 ,  28 ,  2 ,  2 , - 
Comun/Confes/Filant,  11 ,  8 ,  3 ,  1 ,  1 , - , - , - , - , - , - , - ,  10 ,  7 ,  3 , - , - , - 
Alagoas,  25 ,  15 ,  10 ,  2 ,  2 , - , - , - , - ,  1 ,  1 , - ,  20 ,  10 ,  10 ,  2 ,  2 , - 
Pública,  7 ,  3 ,  4 ,  2 ,  2 , - , - , - , - , - , - , - ,  4 , - ,  4 ,  1 ,  1 , - 
Federal,  2 ,  2 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  5 ,  1 ,  4 ,  1 ,  1 , - , - , - , - , - , - , - ,  4 , - ,  4 , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  18 ,  12 ,  6 , - , - , - , - , - , - ,  1 ,  1 , - ,  16 ,  10 ,  6 ,  1 ,  1 , - 
Particular,  17 ,  12 ,  5 , - , - , - , - , - , - ,  1 ,  1 , - ,  15 ,  10 ,  5 ,  1 ,  1 , - 
Comun/Confes/Filant,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 , - ,  1 , - , - , - 
Sergipe,  12 ,  10 ,  2 ,  2 ,  1 ,  1 , - , - , - , - , - , - ,  9 ,  8 ,  1 ,  1 ,  1 , - 
Pública,  2 ,  1 ,  1 ,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Federal,  2 ,  1 ,  1 ,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  10 ,  9 ,  1 ,  1 ,  1 , - , - , - , - , - , - , - ,  9 ,  8 ,  1 , - , - , - 
Particular,  10 ,  9 ,  1 ,  1 ,  1 , - , - , - , - , - , - , - ,  9 ,  8 ,  1 , - , - , - 
Comun/Confes/Filant, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Bahia,  116 ,  50 ,  66 ,  8 ,  4 ,  4 ,  1 ,  1 , - ,  3 ,  1 ,  2 ,  100 ,  42 ,  58 ,  4 ,  2 ,  2 
Pública,  7 ,  3 ,  4 ,  6 ,  2 ,  4 , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Federal,  3 ,  2 ,  1 ,  2 ,  1 ,  1 , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  4 ,  1 ,  3 ,  4 ,  1 ,  3 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  109 ,  47 ,  62 ,  2 ,  2 , - ,  1 ,  1 , - ,  3 ,  1 ,  2 ,  100 ,  42 ,  58 ,  3 ,  1 ,  2 
Particular,  97 ,  41 ,  56 ,  1 ,  1 , - ,  1 ,  1 , - ,  3 ,  1 ,  2 ,  89 ,  37 ,  52 ,  3 ,  1 ,  2 
Comun/Confes/Filant,  12 ,  6 ,  6 ,  1 ,  1 , - , - , - , - , - , - , - ,  11 ,  5 ,  6 , - , - , - 
Sudeste,  1.051 ,  290 ,  761 ,  78 ,  30 ,  48 ,  78 ,  25 ,  53 ,  73 ,  19 ,  54 ,  738 ,  181 ,  557 ,  84 ,  35 ,  49 
Pública,  98 ,  20 ,  78 ,  27 ,  9 ,  18 ,  3 , - ,  3 ,  3 , - ,  3 ,  37 ,  5 ,  32 ,  28 ,  6 ,  22 
Federal,  37 ,  11 ,  26 ,  18 ,  5 ,  13 , - , - , - , - , - , - ,  7 ,  2 ,  5 ,  12 ,  4 ,  8 
Estadual,  30 ,  9 ,  21 ,  7 ,  4 ,  3 , - , - , - , - , - , - ,  7 ,  3 ,  4 ,  16 ,  2 ,  14 
Municipal,  31 , - ,  31 ,  2 , - ,  2 ,  3 , - ,  3 ,  3 , - ,  3 ,  23 , - ,  23 , - , - , - 
Privada,  953 ,  270 ,  683 ,  51 ,  21 ,  30 ,  75 ,  25 ,  50 ,  70 ,  19 ,  51 ,  701 ,  176 ,  525 ,  56 ,  29 ,  27 
Particular,  708 ,  193 ,  515 ,  16 ,  7 ,  9 ,  42 ,  15 ,  27 ,  51 ,  16 ,  35 ,  543 ,  126 ,  417 ,  56 ,  29 ,  27 
Comun/Confes/Filant,  245 ,  77 ,  168 ,  35 ,  14 ,  21 ,  33 ,  10 ,  23 ,  19 ,  3 ,  16 ,  158 ,  50 ,  108 , - , - , - 
Minas Gerais,  311 ,  49 ,  262 ,  22 ,  4 ,  18 ,  15 ,  4 ,  11 ,  10 , - ,  10 ,  247 ,  34 ,  213 ,  17 ,  7 ,  10 
Pública,  30 ,  5 ,  25 ,  13 ,  2 ,  11 , - , - , - , - , - , - ,  10 ,  2 ,  8 ,  7 ,  1 ,  6 
Federal,  22 ,  2 ,  20 ,  11 ,  1 ,  10 , - , - , - , - , - , - ,  4 , - ,  4 ,  7 ,  1 ,  6 
Estadual,  4 ,  3 ,  1 ,  2 ,  1 ,  1 , - , - , - , - , - , - ,  2 ,  2 , - , - , - , - 
Municipal,  4 , - ,  4 , - , - , - , - , - , - , - , - , - ,  4 , - ,  4 , - , - , - 
Privada,  281 ,  44 ,  237 ,  9 ,  2 ,  7 ,  15 ,  4 ,  11 ,  10 , - ,  10 ,  237 ,  32 ,  205 ,  10 ,  6 ,  4 
Particular,  192 ,  30 ,  162 ,  1 , - ,  1 ,  5 ,  2 ,  3 ,  4 , - ,  4 ,  172 ,  22 ,  150 ,  10 ,  6 ,  4 
Comun/Confes/Filant,  89 ,  14 ,  75 ,  8 ,  2 ,  6 ,  10 ,  2 ,  8 ,  6 , - ,  6 ,  65 ,  10 ,  55 , - , - , - 
Espírito Santo,  98 ,  29 ,  69 ,  1 ,  1 , - ,  3 , - ,  3 ,  6 ,  3 ,  3 ,  80 ,  22 ,  58 ,  8 ,  3 ,  5 
Pública,  4 ,  3 ,  1 ,  1 ,  1 , - , - , - , - , - , - , - ,  2 ,  1 ,  1 ,  1 ,  1 , - 
Federal,  2 ,  2 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Municipal,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 , - ,  1 , - , - , - 
,  94 ,  26 ,  68 , - , - , - ,  3 , - ,  3 ,  6 ,  3 ,  3 ,  78 ,  21 ,  57 ,  7 ,  2 ,  5 
Particular,  82 ,  20 ,  62 , - , - , - ,  1 , - ,  1 ,  6 ,  3 ,  3 ,  68 ,  15 ,  53 ,  7 ,  2 ,  5 
Comun/Confes/Filant,  12 ,  6 ,  6 , - , - , - ,  2 , - ,  2 , - , - , - ,  10 ,  6 ,  4 , - , - , - 
Rio de Janeiro,  121 ,  66 ,  55 ,  18 ,  10 ,  8 ,  14 ,  8 ,  6 ,  9 ,  5 ,  4 ,  74 ,  41 ,  33 ,  6 ,  2 ,  4 
Pública,  13 ,  6 ,  7 ,  6 ,  3 ,  3 , - , - , - , - , - , - ,  4 ,  2 ,  2 ,  3 ,  1 ,  2 
Federal,  9 ,  5 ,  4 ,  4 ,  2 ,  2 , - , - , - , - , - , - ,  2 ,  2 , - ,  3 ,  1 ,  2 
Estadual,  2 ,  1 ,  1 ,  2 ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  2 , - ,  2 , - , - , - , - , - , - , - , - , - ,  2 , - ,  2 , - , - , - 
Privada,  108 ,  60 ,  48 ,  12 ,  7 ,  5 ,  14 ,  8 ,  6 ,  9 ,  5 ,  4 ,  70 ,  39 ,  31 ,  3 ,  1 ,  2 
Particular,  53 ,  32 ,  21 , - , - , - ,  6 ,  3 ,  3 ,  7 ,  5 ,  2 ,  37 ,  23 ,  14 ,  3 ,  1 ,  2 
Comun/Confes/Filant,  55 ,  28 ,  27 ,  12 ,  7 ,  5 ,  8 ,  5 ,  3 ,  2 , - ,  2 ,  33 ,  16 ,  17 , - , - , - 
São Paulo,  521 ,  146 ,  375 ,  37 ,  15 ,  22 ,  46 ,  13 ,  33 ,  48 ,  11 ,  37 ,  337 ,  84 ,  253 ,  53 ,  23 ,  30 
Pública,  51 ,  6 ,  45 ,  7 ,  3 ,  4 ,  3 , - ,  3 ,  3 , - ,  3 ,  21 , - ,  21 ,  17 ,  3 ,  14 
Federal,  4 ,  2 ,  2 ,  2 ,  1 ,  1 , - , - , - , - , - , - ,  1 , - ,  1 ,  1 ,  1 , - 
Estadual,  23 ,  4 ,  19 ,  3 ,  2 ,  1 , - , - , - , - , - , - ,  4 , - ,  4 ,  16 ,  2 ,  14 
Municipal,  24 , - ,  24 ,  2 , - ,  2 ,  3 , - ,  3 ,  3 , - ,  3 ,  16 , - ,  16 , - , - , - 
Privada,  470 ,  140 ,  330 ,  30 ,  12 ,  18 ,  43 ,  13 ,  30 ,  45 ,  11 ,  34 ,  316 ,  84 ,  232 ,  36 ,  20 ,  16 
Particular,  381 ,  111 ,  270 ,  15 ,  7 ,  8 ,  30 ,  10 ,  20 ,  34 ,  8 ,  26 ,  266 ,  66 ,  200 ,  36 ,  20 ,  16 
Comun/Confes/Filant,  89 ,  29 ,  60 ,  15 ,  5 ,  10 ,  13 ,  3 ,  10 ,  11 ,  3 ,  8 ,  50 ,  18 ,  32 , - , - , - 
Sul,  370 ,  87 ,  283 ,  39 ,  9 ,  30 ,  16 ,  5 ,  11 ,  10 ,  5 ,  5 ,  254 ,  52 ,  202 ,  51 ,  16 ,  35 
Pública,  39 ,  10 ,  29 ,  17 ,  6 ,  11 , - , - , - , - , - , - ,  16 ,  3 ,  13 ,  6 ,  1 ,  5 
Federal,  14 ,  6 ,  8 ,  7 ,  4 ,  3 , - , - , - , - , - , - ,  1 ,  1 , - ,  6 ,  1 ,  5 
Estadual,  19 ,  4 ,  15 ,  7 ,  2 ,  5 , - , - , - , - , - , - ,  12 ,  2 ,  10 , - , - , - 
Municipal,  6 , - ,  6 ,  3 , - ,  3 , - , - , - , - , - , - ,  3 , - ,  3 , - , - , - 
Privada,  331 ,  77 ,  254 ,  22 ,  3 ,  19 ,  16 ,  5 ,  11 ,  10 ,  5 ,  5 ,  238 ,  49 ,  189 ,  45 ,  15 ,  30 
Particular,  248 ,  59 ,  189 ,  4 ,  1 ,  3 ,  5 ,  3 ,  2 ,  10 ,  5 ,  5 ,  186 ,  36 ,  150 ,  43 ,  14 ,  29 
