Unidade da Federação / Categoria Administrativa,Total - Total Geral, Capital - Total Geral , Interior - Total Geral ,Total - Universidades, Capital - Universidades , Interior - Universidades ,Total - Centros Universitários, Capital - Centros Universitários , Interior - Centros Universitários ,Total - Faculdades, Capital - Faculdades , Interior - Faculdades ,Total - IF e CEFET, Capital - IF e CEFET , Interior - IF e CEFET 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  4 ,  4 , . , . , . , . ,  1 ,  1 , . ,  3 ,  3 , . , . , . , . 
Pará,  41 ,  20 ,  21 ,  6 ,  4 ,  2 ,  2 ,  1 ,  1 ,  32 ,  14 ,  18 ,  1 ,  1 , . 
Pública,  6 ,  4 ,  2 ,  5 ,  3 ,  2 , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  5 ,  3 ,  2 ,  4 ,  2 ,  2 , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  35 ,  16 ,  19 ,  1 ,  1 , . ,  2 ,  1 ,  1 ,  32 ,  14 ,  18 , . , . , . 
Amapá,  16 ,  15 ,  1 ,  2 ,  2 , . , . , . , . ,  13 ,  12 ,  1 ,  1 ,  1 , . 
Pública,  3 ,  3 , . ,  2 ,  2 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  13 ,  12 ,  1 , . , . , . , . , . , . ,  13 ,  12 ,  1 , . , . , . 
Tocantins,  25 ,  10 ,  15 ,  2 ,  2 , . ,  2 ,  1 ,  1 ,  20 ,  6 ,  14 ,  1 ,  1 , . 
Pública,  5 ,  3 ,  2 ,  2 ,  2 , . ,  1 , . ,  1 ,  1 , . ,  1 ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal,  2 , . ,  2 , . , . , . ,  1 , . ,  1 ,  1 , . ,  1 , . , . , . 
Privada,  20 ,  7 ,  13 , . , . , . ,  1 ,  1 , . ,  19 ,  6 ,  13 , . , . , . 
Nordeste,  456 ,  231 ,  225 ,  39 ,  22 ,  17 ,  12 ,  11 ,  1 ,  394 ,  188 ,  206 ,  11 ,  10 ,  1 
Pública,  66 ,  26 ,  40 ,  32 ,  15 ,  17 , . , . , . ,  23 ,  1 ,  22 ,  11 ,  10 ,  1 
Federal,  29 ,  19 ,  10 ,  18 ,  9 ,  9 , . , . , . , . , . , . ,  11 ,  10 ,  1 
Estadual,  15 ,  7 ,  8 ,  14 ,  6 ,  8 , . , . , . ,  1 ,  1 , . , . , . , . 
Municipal,  22 , . ,  22 , . , . , . , . , . , . ,  22 , . ,  22 , . , . , . 
Privada,  390 ,  205 ,  185 ,  7 ,  7 , . ,  12 ,  11 ,  1 ,  371 ,  187 ,  184 , . , . , . 
Maranhão,  35 ,  20 ,  15 ,  3 ,  3 , . , . , . , . ,  31 ,  16 ,  15 ,  1 ,  1 , . 
Pública,  3 ,  3 , . ,  2 ,  2 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  32 ,  17 ,  15 ,  1 ,  1 , . , . , . , . ,  31 ,  16 ,  15 , . , . , . 
Piauí,  38 ,  28 ,  10 ,  2 ,  2 , . ,  1 ,  1 , . ,  34 ,  24 ,  10 ,  1 ,  1 , . 
Pública,  3 ,  3 , . ,  2 ,  2 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  35 ,  25 ,  10 , . , . , . ,  1 ,  1 , . ,  34 ,  24 ,  10 , . , . , . 
Ceará,  58 ,  33 ,  25 ,  7 ,  3 ,  4 ,  2 ,  2 , . ,  48 ,  27 ,  21 ,  1 ,  1 , . 
Pública,  7 ,  3 ,  4 ,  6 ,  2 ,  4 , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  4 ,  2 ,  2 ,  3 ,  1 ,  2 , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  3 ,  1 ,  2 ,  3 ,  1 ,  2 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  51 ,  30 ,  21 ,  1 ,  1 , . ,  2 ,  2 , . ,  48 ,  27 ,  21 , . , . , . 
Rio Grande do Norte,  28 ,  17 ,  11 ,  4 ,  2 ,  2 ,  2 ,  2 , . ,  21 ,  12 ,  9 ,  1 ,  1 , . 
Pública,  5 ,  3 ,  2 ,  3 ,  1 ,  2 , . , . , . ,  1 ,  1 , . ,  1 ,  1 , . 
Federal,  3 ,  2 ,  1 ,  2 ,  1 ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  2 ,  1 ,  1 ,  1 , . ,  1 , . , . , . ,  1 ,  1 , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  23 ,  14 ,  9 ,  1 ,  1 , . ,  2 ,  2 , . ,  20 ,  11 ,  9 , . , . , . 
Paraíba,  36 ,  22 ,  14 ,  3 ,  1 ,  2 ,  1 ,  1 , . ,  31 ,  19 ,  12 ,  1 ,  1 , . 
Pública,  4 ,  2 ,  2 ,  3 ,  1 ,  2 , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  3 ,  2 ,  1 ,  2 ,  1 ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 , . ,  1 ,  1 , . ,  1 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  32 ,  20 ,  12 , . , . , . ,  1 ,  1 , . ,  31 ,  19 ,  12 , . , . , . 
Pernambuco,  98 ,  36 ,  62 ,  5 ,  4 ,  1 ,  2 ,  1 ,  1 ,  89 ,  30 ,  59 ,  2 ,  1 ,  1 
Pública,  28 ,  4 ,  24 ,  4 ,  3 ,  1 , . , . , . ,  22 , . ,  22 ,  2 ,  1 ,  1 
Federal,  5 ,  3 ,  2 ,  3 ,  2 ,  1 , . , . , . , . , . , . ,  2 ,  1 ,  1 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal,  22 , . ,  22 , . , . , . , . , . , . ,  22 , . ,  22 , . , . , . 
Privada,  70 ,  32 ,  38 ,  1 ,  1 , . ,  2 ,  1 ,  1 ,  67 ,  30 ,  37 , . , . , . 
Alagoas,  28 ,  19 ,  9 ,  3 ,  2 ,  1 ,  2 ,  2 , . ,  22 ,  14 ,  8 ,  1 ,  1 , . 
Pública,  4 ,  3 ,  1 ,  3 ,  2 ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  2 ,  1 ,  1 ,  2 ,  1 ,  1 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  24 ,  16 ,  8 , . , . , . ,  2 ,  2 , . ,  22 ,  14 ,  8 , . , . , . 
Sergipe,  17 ,  14 ,  3 ,  2 ,  1 ,  1 , . , . , . ,  14 ,  12 ,  2 ,  1 ,  1 , . 
Pública,  2 ,  1 ,  1 ,  1 , . ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  1 ,  1 ,  1 , . ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  15 ,  13 ,  2 ,  1 ,  1 , . , . , . , . ,  14 ,  12 ,  2 , . , . , . 
Bahia,  118 ,  42 ,  76 ,  10 ,  4 ,  6 ,  2 ,  2 , . ,  104 ,  34 ,  70 ,  2 ,  2 , . 
Pública,  10 ,  4 ,  6 ,  8 ,  2 ,  6 , . , . , . , . , . , . ,  2 ,  2 , . 
Federal,  6 ,  3 ,  3 ,  4 ,  1 ,  3 , . , . , . , . , . , . ,  2 ,  2 , . 
Estadual,  4 ,  1 ,  3 ,  4 ,  1 ,  3 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  108 ,  38 ,  70 ,  2 ,  2 , . ,  2 ,  2 , . ,  104 ,  34 ,  70 , . , . , . 
Sudeste,  1.118 ,  296 ,  822 ,  78 ,  29 ,  49 ,  90 ,  27 ,  63 ,  939 ,  234 ,  705 ,  11 ,  6 ,  5 
Pública,  151 ,  32 ,  119 ,  28 ,  9 ,  19 ,  4 ,  2 ,  2 ,  108 ,  15 ,  93 ,  11 ,  6 ,  5 
Federal,  34 ,  14 ,  20 ,  19 ,  5 ,  14 , . , . , . ,  4 ,  3 ,  1 ,  11 ,  6 ,  5 
Estadual,  86 ,  17 ,  69 ,  7 ,  4 ,  3 ,  1 ,  1 , . ,  78 ,  12 ,  66 , . , . , . 
Municipal,  31 ,  1 ,  30 ,  2 , . ,  2 ,  3 ,  1 ,  2 ,  26 , . ,  26 , . , . , . 
Privada,  967 ,  264 ,  703 ,  50 ,  20 ,  30 ,  86 ,  25 ,  61 ,  831 ,  219 ,  612 , . , . , . 
Minas Gerais,  302 ,  50 ,  252 ,  22 ,  4 ,  18 ,  18 ,  5 ,  13 ,  256 ,  39 ,  217 ,  6 ,  2 ,  4 
Pública,  22 ,  6 ,  16 ,  13 ,  2 ,  11 , . , . , . ,  3 ,  2 ,  1 ,  6 ,  2 ,  4 
Federal,  17 ,  3 ,  14 ,  11 ,  1 ,  10 , . , . , . , . , . , . ,  6 ,  2 ,  4 
Estadual,  4 ,  3 ,  1 ,  2 ,  1 ,  1 , . , . , . ,  2 ,  2 , . , . , . , . 
Municipal,  1 , . ,  1 , . , . , . , . , . , . ,  1 , . ,  1 , . , . , . 
Privada,  280 ,  44 ,  236 ,  9 ,  2 ,  7 ,  18 ,  5 ,  13 ,  253 ,  37 ,  216 , . , . , . 
Espírito Santo,  81 ,  24 ,  57 ,  2 ,  1 ,  1 ,  2 , . ,  2 ,  76 ,  22 ,  54 ,  1 ,  1 , . 
Pública,  5 ,  3 ,  2 ,  1 ,  1 , . , . , . , . ,  3 ,  1 ,  2 ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . , . , . , . 
Municipal,  2 , . ,  2 , . , . , . , . , . , . ,  2 , . ,  2 , . , . , . 
Privada,  76 ,  21 ,  55 ,  1 , . ,  1 ,  2 , . ,  2 ,  73 ,  21 ,  52 , . , . , . 
Rio de Janeiro,  137 ,  75 ,  62 ,  17 ,  9 ,  8 ,  18 ,  9 ,  9 ,  99 ,  55 ,  44 ,  3 ,  2 ,  1 
Pública,  27 ,  12 ,  15 ,  6 ,  3 ,  3 ,  2 ,  2 , . ,  16 ,  5 ,  11 ,  3 ,  2 ,  1 
Federal,  10 ,  7 ,  3 ,  4 ,  2 ,  2 , . , . , . ,  3 ,  3 , . ,  3 ,  2 ,  1 
Estadual,  13 ,  4 ,  9 ,  2 ,  1 ,  1 ,  1 ,  1 , . ,  10 ,  2 ,  8 , . , . , . 
Municipal,  4 ,  1 ,  3 , . , . , . ,  1 ,  1 , . ,  3 , . ,  3 , . , . , . 
Privada,  110 ,  63 ,  47 ,  11 ,  6 ,  5 ,  16 ,  7 ,  9 ,  83 ,  50 ,  33 , . , . , . 
São Paulo,  598 ,  147 ,  451 ,  37 ,  15 ,  22 ,  52 ,  13 ,  39 ,  508 ,  118 ,  390 ,  1 ,  1 , . 
Pública,  97 ,  11 ,  86 ,  8 ,  3 ,  5 ,  2 , . ,  2 ,  86 ,  7 ,  79 ,  1 ,  1 , . 
Federal,  5 ,  2 ,  3 ,  3 ,  1 ,  2 , . , . , . ,  1 , . ,  1 ,  1 ,  1 , . 
Estadual,  68 ,  9 ,  59 ,  3 ,  2 ,  1 , . , . , . ,  65 ,  7 ,  58 , . , . , . 
Municipal,  24 , . ,  24 ,  2 , . ,  2 ,  2 , . ,  2 ,  20 , . ,  20 , . , . , . 
Privada,  501 ,  136 ,  365 ,  29 ,  12 ,  17 ,  50 ,  13 ,  37 ,  422 ,  111 ,  311 , . , . , . 
Sul,  405 ,  110 ,  295 ,  47 ,  11 ,  36 ,  24 ,  7 ,  17 ,  328 ,  90 ,  238 ,  6 ,  2 ,  4 
Pública,  35 ,  9 ,  26 ,  23 ,  7 ,  16 ,  3 , . ,  3 ,  3 , . ,  3 ,  6 ,  2 ,  4 
Federal,  17 ,  7 ,  10 ,  11 ,  5 ,  6 , . , . , . , . , . , . ,  6 ,  2 ,  4 
Estadual,  9 ,  2 ,  7 ,  9 ,  2 ,  7 , . , . , . , . , . , . , . , . , . 
Municipal,  9 , . ,  9 ,  3 , . ,  3 ,  3 , . ,  3 ,  3 , . ,  3 , . , . , . 
Privada,  370 ,  101 ,  269 ,  24 ,  4 ,  20 ,  21 ,  7 ,  14 ,  325 ,  90 ,  235 , . , . , . 
Paraná,  186 ,  56 ,  130 ,  15 ,  5 ,  10 ,  9 ,  5 ,  4 ,  161 ,  45 ,  116 ,  1 ,  1 , . 
Pública,  14 ,  3 ,  11 ,  10 ,  2 ,  8 ,  1 , . ,  1 ,  2 , . ,  2 ,  1 ,  1 , . 
Federal,  4 ,  3 ,  1 ,  3 ,  2 ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  7 , . ,  7 ,  7 , . ,  7 , . , . , . , . , . , . , . , . , . 
Municipal,  3 , . ,  3 , . , . , . ,  1 , . ,  1 ,  2 , . ,  2 , . , . , . 
Privada,  172 ,  53 ,  119 ,  5 ,  3 ,  2 ,  8 ,  5 ,  3 ,  159 ,  45 ,  114 , . , . , . 
Santa Catarina,  94 ,  17 ,  77 ,  13 ,  2 ,  11 ,  10 , . ,  10 ,  69 ,  14 ,  55 ,  2 ,  1 ,  1 
Pública,  11 ,  3 ,  8 ,  6 ,  2 ,  4 ,  2 , . ,  2 ,  1 , . ,  1 ,  2 ,  1 ,  1 
Federal,  4 ,  2 ,  2 ,  2 ,  1 ,  1 , . , . , . , . , . , . ,  2 ,  1 ,  1 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal,  6 , . ,  6 ,  3 , . ,  3 ,  2 , . ,  2 ,  1 , . ,  1 , . , . , . 
Privada,  83 ,  14 ,  69 ,  7 , . ,  7 ,  8 , . ,  8 ,  68 ,  14 ,  54 , . , . , . 
Rio Grande do Sul,  125 ,  37 ,  88 ,  19 ,  4 ,  15 ,  5 ,  2 ,  3 ,  98 ,  31 ,  67 ,  3 , . ,  3 
Pública,  10 ,  3 ,  7 ,  7 ,  3 ,  4 , . , . , . , . , . , . ,  3 , . ,  3 
Federal,  9 ,  2 ,  7 ,  6 ,  2 ,  4 , . , . , . , . , . , . ,  3 , . ,  3 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  115 ,  34 ,  81 ,  12 ,  1 ,  11 ,  5 ,  2 ,  3 ,  98 ,  31 ,  67 , . , . , . 
Centro-Oeste,  235 ,  114 ,  121 ,  14 ,  9 ,  5 ,  14 ,  9 ,  5 ,  202 ,  91 ,  111 ,  5 ,  5 , . 
Pública,  19 ,  11 ,  8 ,  9 ,  4 ,  5 ,  1 , . ,  1 ,  4 ,  2 ,  2 ,  5 ,  5 , . 
Federal,  10 ,  9 ,  1 ,  5 ,  4 ,  1 , . , . , . , . , . , . ,  5 ,  5 , . 
Estadual,  5 ,  2 ,  3 ,  3 , . ,  3 , . , . , . ,  2 ,  2 , . , . , . , . 
Municipal,  4 , . ,  4 ,  1 , . ,  1 ,  1 , . ,  1 ,  2 , . ,  2 , . , . , . 
Privada,  216 ,  103 ,  113 ,  5 ,  5 , . ,  13 ,  9 ,  4 ,  198 ,  89 ,  109 , . , . , . 
Mato Grosso do Sul,  34 ,  11 ,  23 ,  5 ,  3 ,  2 ,  2 ,  1 ,  1 ,  26 ,  6 ,  20 ,  1 ,  1 , . 
Pública,  4 ,  2 ,  2 ,  3 ,  1 ,  2 , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  3 ,  2 ,  1 ,  2 ,  1 ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 , . ,  1 ,  1 , . ,  1 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  30 ,  9 ,  21 ,  2 ,  2 , . ,  2 ,  1 ,  1 ,  26 ,  6 ,  20 , . , . , . 
Mato Grosso,  56 ,  16 ,  40 ,  3 ,  2 ,  1 ,  2 ,  1 ,  1 ,  50 ,  12 ,  38 ,  1 ,  1 , . 
Pública,  3 ,  2 ,  1 ,  2 ,  1 ,  1 , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 , . ,  1 ,  1 , . ,  1 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  53 ,  14 ,  39 ,  1 ,  1 , . ,  2 ,  1 ,  1 ,  50 ,  12 ,  38 , . , . , . 
Goiás,  85 ,  27 ,  58 ,  4 ,  2 ,  2 ,  4 ,  1 ,  3 ,  75 ,  22 ,  53 ,  2 ,  2 , . 
Pública,  8 ,  3 ,  5 ,  3 ,  1 ,  2 ,  1 , . ,  1 ,  2 , . ,  2 ,  2 ,  2 , . 
Federal,  3 ,  3 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  2 ,  2 , . 
Estadual,  1 , . ,  1 ,  1 , . ,  1 , . , . , . , . , . , . , . , . , . 
Municipal,  4 , . ,  4 ,  1 , . ,  1 ,  1 , . ,  1 ,  2 , . ,  2 , . , . , . 
Privada,  77 ,  24 ,  53 ,  1 ,  1 , . ,  3 ,  1 ,  2 ,  73 ,  22 ,  51 , . , . , . 
Distrito Federal,  60 ,  60 , . ,  2 ,  2 , . ,  6 ,  6 , . ,  51 ,  51 , . ,  1 ,  1 , . 
Pública,  4 ,  4 , . ,  1 ,  1 , . , . , . , . ,  2 ,  2 , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  2 ,  2 , . , . , . , . , . , . , . ,  2 ,  2 , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  56 ,  56 , . ,  1 ,  1 , . ,  6 ,  6 , . ,  49 ,  49 , . , . , . , . 
